search_term,id,title,downloaded_file
bennett,wheelswithin32127gut,"Wheels Within",DownloadedFiles/wheelswithin32127gut/32127.txt
quelques,auxminesdorduklo28559gut,"Aux mines d'or du Klondike du lac Bennett  Dawson City",DownloadedFiles/auxminesdorduklo28559gut/28559-0.txt
encore,quelquesaspectsd31918gut,"Quelques aspects du vertige mondial",DownloadedFiles/quelquesaspectsd31918gut/31918-0.txt
captain,anencore29284gut,"An Encore",DownloadedFiles/anencore29284gut/29284.txt
laguerre,captainmacklin06015gut,"Captain Macklin",DownloadedFiles/captainmacklin06015gut/cptnm10.txt
