search_term,id,title,downloaded_file
figures,newwestindianspi33650gut,"New West Indian Spiders Bulletin of the AMNH, Vol. XXXIII, Art. XLI, pp. 639-642",DownloadedFiles/newwestindianspi33650gut/33650-8.txt
manuel,figuresofearth11639gut,"Figures of Earth",DownloadedFiles/figuresofearth11639gut/11639-8.txt
captain,manuelpereira04680gut,"Manuel Pereira",DownloadedFiles/manuelpereira04680gut/mnlpr10.txt
laguerre,captainmacklin06015gut,"Captain Macklin",DownloadedFiles/captainmacklin06015gut/cptnm10.txt
