search_term,id,title,downloaded_file
rennie,rebelspurs20840gut,"Rebel Spurs",DownloadedFiles/rebelspurs20840gut/20840-0.txt
disease,insectsanddiseas28177gut,"Insects and Diseases A Popular Account of the Way in Which Insects may Spread or Cause some of our Common Diseases",DownloadedFiles/insectsanddiseas28177gut/28177-8.txt
infection,diseaseanditscau15283gut,"Disease and Its Causes",DownloadedFiles/diseaseanditscau15283gut/15283-8.txt
rectum,intestinalillsch26365gut,"Intestinal Ills Chronic Constipation, Indigestion, Autogenetic Poisons, Diarrhea, Piles, Etc. Also Auto-Infection, Auto-Intoxication, Anemia, Emaciation, Etc. Due to Proctitis and Colitis",DownloadedFiles/intestinalillsch26365gut/26365-8.txt
constipation,intestinalillsch26365gut,"Intestinal Ills Chronic Constipation, Indigestion, Autogenetic Poisons, Diarrhea, Piles, Etc. Also Auto-Infection, Auto-Intoxication, Anemia, Emaciation, Etc. Due to Proctitis and Colitis",DownloadedFiles/intestinalillsch26365gut/26365-8.txt
rectum,intestinalillsch26365gut,"Intestinal Ills Chronic Constipation, Indigestion, Autogenetic Poisons, Diarrhea, Piles, Etc. Also Auto-Infection, Auto-Intoxication, Anemia, Emaciation, Etc. Due to Proctitis and Colitis",DownloadedFiles/intestinalillsch26365gut/26365-8.txt
