search_term,id,title,downloaded_file
charity,summer00166gut,"Summer",DownloadedFiles/summer00166gut/166.txt
religious,fraternalcharity33701gut,"Fraternal Charity",DownloadedFiles/fraternalcharity33701gut/33701-8.txt
christian,religiousreality05954gut,"Religious Reality",DownloadedFiles/religiousreality05954gut/rlgrl10.txt
footnote,christianmystici14596gut,"Christian Mysticism",DownloadedFiles/christianmystici14596gut/14596-8.txt
german,afootnotetohisto00536gut,"A Footnote to History: Eight Years of Trouble in Samoa",DownloadedFiles/afootnotetohisto00536gut/536.txt
colleague,germanmoonlight32009gut,"German Moonlight",DownloadedFiles/germanmoonlight32009gut/pg32009.txt
