search_term,id,title,downloaded_file
england,oldenglishsports14315gut,"Old English Sports",DownloadedFiles/oldenglishsports14315gut/14315-8.txt
english,england03122gut,"England",DownloadedFiles/england03122gut/3122.txt
footnote,englishsatires16126gut,"English Satires",DownloadedFiles/englishsatires16126gut/16126-8.txt
german,afootnotetohisto00536gut,"A Footnote to History: Eight Years of Trouble in Samoa",DownloadedFiles/afootnotetohisto00536gut/536.txt
colleague,germanmoonlight32009gut,"German Moonlight",DownloadedFiles/germanmoonlight32009gut/pg32009.txt
