search_term,id,title,downloaded_file
sylvia,runningwater12891gut,"Running Water",DownloadedFiles/runningwater12891gut/12891-8.txt
husband,sylviasmarriage05807gut,"Sylvia's Marriage",DownloadedFiles/sylviasmarriage05807gut/sylvm10.txt
garrison,ahusbandbyproxy19523gut,"A Husband by Proxy",DownloadedFiles/ahusbandbyproxy19523gut/19523-8.txt
slavery,williamlloydgarr14555gut,"William Lloyd Garrison: The Abolitionist",DownloadedFiles/williamlloydgarr14555gut/14555-8.txt
freedom,theantislaveryha10448gut,"The Anti-Slavery Harp",DownloadedFiles/theantislaveryha10448gut/10448.txt
simonov,freedom30338gut,"Freedom",DownloadedFiles/freedom30338gut/30338-8.txt
