search_term,id,title,downloaded_file
captain,playsthefatherco08499gut,"Plays: the Father; Countess Julie; the Outlaw; the Stronger",DownloadedFiles/playsthefatherco08499gut/7p1as10.txt
laguerre,captainmacklin06015gut,"Captain Macklin",DownloadedFiles/captainmacklin06015gut/cptnm10.txt
