id,brightness,url,,
nasa_techdoc_19970016839,246.3069274,"<a href=""http://www.archive.org/details/nasa_techdoc_19970016839"">link</a>",,
applicationofsat00chan,246.3026102,"<a href=""http://www.archive.org/details/applicationofsat00chan"">link</a>",,
nasa_techdoc_19930008812,246.2209414,"<a href=""http://www.archive.org/details/nasa_techdoc_19930008812"">link</a>",,
nasa_techdoc_19970015273,246.2129543,"<a href=""http://www.archive.org/details/nasa_techdoc_19970015273"">link</a>",,
nasa_techdoc_19970011940,246.2017068,"<a href=""http://www.archive.org/details/nasa_techdoc_19970011940"">link</a>",,
bbc-rd-reports-1954-37,246.1343177,"<a href=""http://www.archive.org/details/bbc-rd-reports-1954-37"">link</a>",,
EmilyCarrBrightnessContrastScience201week9,246.1069919,"<a href=""http://www.archive.org/details/EmilyCarrBrightnessContrastScience201week9"">link</a>",,
bbc-rd-reports-1972-37,246.0884556,"<a href=""http://www.archive.org/details/bbc-rd-reports-1972-37"">link</a>",,
nasa_techdoc_19980018595,245.9381742,"<a href=""http://www.archive.org/details/nasa_techdoc_19980018595"">link</a>",,
arxiv-astro-ph9712061,245.8854704,"<a href=""http://www.archive.org/details/arxiv-astro-ph9712061"">link</a>",,
nasa_techdoc_20010028709,245.740005,"<a href=""http://www.archive.org/details/nasa_techdoc_20010028709"">link</a>",,
nasa_techdoc_19970010251,245.7161848,"<a href=""http://www.archive.org/details/nasa_techdoc_19970010251"">link</a>",,
nasa_techdoc_19700021465,245.6763595,"<a href=""http://www.archive.org/details/nasa_techdoc_19700021465"">link</a>",,
nasa_techdoc_19700020171,245.5992037,"<a href=""http://www.archive.org/details/nasa_techdoc_19700020171"">link</a>",,
arxiv-1005.0770,245.5815194,"<a href=""http://www.archive.org/details/arxiv-1005.0770"">link</a>",,
nasa_techdoc_19760013967,245.5306143,"<a href=""http://www.archive.org/details/nasa_techdoc_19760013967"">link</a>",,
nasa_techdoc_19720006719,245.4915869,"<a href=""http://www.archive.org/details/nasa_techdoc_19720006719"">link</a>",,
arxiv-1007.0252,245.4399405,"<a href=""http://www.archive.org/details/arxiv-1007.0252"">link</a>",,
nasa_techdoc_19740014604,245.3547142,"<a href=""http://www.archive.org/details/nasa_techdoc_19740014604"">link</a>",,
TeachingMind-changingAbilities-CareerTimes,245.3483879,"<a href=""http://www.archive.org/details/TeachingMind-changingAbilities-CareerTimes"">link</a>",,
nasa_techdoc_20010111482,245.3420307,"<a href=""http://www.archive.org/details/nasa_techdoc_20010111482"">link</a>",,
nasa_techdoc_19980232020,245.324886,"<a href=""http://www.archive.org/details/nasa_techdoc_19980232020"">link</a>",,
arxiv-astro-ph0107391,245.3184917,"<a href=""http://www.archive.org/details/arxiv-astro-ph0107391"">link</a>",,
bbc-rd-reports-1995-10,245.3038767,"<a href=""http://www.archive.org/details/bbc-rd-reports-1995-10"">link</a>",,
arxiv-1304.7716,245.2817185,"<a href=""http://www.archive.org/details/arxiv-1304.7716"">link</a>",,
nasa_techdoc_19740014354,245.2008526,"<a href=""http://www.archive.org/details/nasa_techdoc_19740014354"">link</a>",,
nasa_techdoc_19730017304,245.0589092,"<a href=""http://www.archive.org/details/nasa_techdoc_19730017304"">link</a>",,
nasa_techdoc_19740012556,245.0587631,"<a href=""http://www.archive.org/details/nasa_techdoc_19740012556"">link</a>",,
