search_term,id,title,downloaded_file
hedwig,dielast18231gut,"Die Last",DownloadedFiles/dielast18231gut/18231-0.txt
seinen,8faun10,"Von Denen Faunen Gepeitsche Laster, Die 8-bit text (with accented letters)",DownloadedFiles/8faun10/8faun10.txt
fichte,achtundvierzigbr29530gut,"Achtundvierzig Briefe von Johann Gottlieb Fichte und seinen Verwandten",DownloadedFiles/achtundvierzigbr29530gut/29530-8.txt
bruder,achtundvierzigbr29530gut,"Achtundvierzig Briefe von Johann Gottlieb Fichte und seinen Verwandten",DownloadedFiles/achtundvierzigbr29530gut/29530-8.txt
