search_term,id,title,downloaded_file
gretchen,armsandthewoman17359gut,"Arms and the Woman",DownloadedFiles/armsandthewoman17359gut/17359-8.txt
dawson,overtheplumpuddi34553gut,"Over the Plum Pudding",DownloadedFiles/overtheplumpuddi34553gut/34553-8.txt
freddy,davedawsononguad32542gut,"Dave Dawson on Guadalcanal",DownloadedFiles/davedawsononguad32542gut/32542-8.txt
gretchen,armsandthewoman17359gut,"Arms and the Woman",DownloadedFiles/armsandthewoman17359gut/17359-8.txt
dawson,overtheplumpuddi34553gut,"Over the Plum Pudding",DownloadedFiles/overtheplumpuddi34553gut/34553-8.txt
freddy,davedawsononguad32542gut,"Dave Dawson on Guadalcanal",DownloadedFiles/davedawsononguad32542gut/32542-8.txt
