search_term,id,title,downloaded_file
hartley,timeandtimeagain18831gut,"Time and Time Again",DownloadedFiles/timeandtimeagain18831gut/18831-8.txt
dooant,yorksherpuddin18175gut,"Yorksher Puddin': A Collection of the Most Popular Dialect Stories from the Pen of John Hartley",DownloadedFiles/yorksherpuddin18175gut/18175-8.txt
hartley,timeandtimeagain18831gut,"Time and Time Again",DownloadedFiles/timeandtimeagain18831gut/18831-8.txt
dooant,yorksherpuddin18175gut,"Yorksher Puddin': A Collection of the Most Popular Dialect Stories from the Pen of John Hartley",DownloadedFiles/yorksherpuddin18175gut/18175-8.txt
