search_term,id,title,downloaded_file
castell,fairmargaret09780gut,"Fair Margaret",DownloadedFiles/fairmargaret09780gut/7frmg10.txt
prince,thelifeofkingedw25112gut,"The Life of King Edward VII with a sketch of the career of King George V",DownloadedFiles/thelifeofkingedw25112gut/25112-8.txt
lionel,princefortunatus16217gut,"Prince Fortunatus",DownloadedFiles/princefortunatus16217gut/16217-8.txt
because,anovelistonnovel32576gut,"A Novelist on Novels",DownloadedFiles/anovelistonnovel32576gut/32576-8.txt
sidenote,abookecalledthef26056gut,"A booke called the Foundacion of Rhetorike because all other partes of Rhetorike are grounded thereupon, euery parte sette forthe in an Oracion vpon questions, verie profitable to bee knowen and redde",DownloadedFiles/abookecalledthef26056gut/26056-8.txt
